,id,name,crossed,geometry,geometry_updated
38,08f2834110089ad90395de9a2a7c9264,Barbara Downs Art,"['service', 'footway']",POINT (-122.0514744999999976 36.9600447999999986),POINT (-122.0514313097173300 36.9597652012949709)
39,08f283411008a8030355fc61a75ae0a3,RV Service Center Of Santa Cruz,['service'],POINT (-122.0508207000000027 36.9600032000000027),POINT (-122.0510848000000124 36.9598257000000032)
40,08f283411008ab99035527fe2247a9ae,Jeff Traugott Guitars,[],POINT (-122.0514983999999998 36.9598257000000032),POINT (-122.0514881880633169 36.9597595914146666)
41,08f283411008ac9803435a9ccdd0f2ed,Rock Lobster Cycles,[],POINT (-122.0497790000000009 36.9587840000000014),POINT (-122.0497790000000009 36.9587840000000014)
42,08f283411008ada903dc2da6ca0552d9,Susana Arias,[],POINT (-122.0500676000000055 36.9600353000000013),POINT (-122.0500569550339947 36.9599731508038332)
43,08f283411008d040037ec00f190c9945,Sefla Joseph's Studio,[],POINT (-122.0509420000000063 36.9595920000000007),POINT (-122.0509420000000063 36.9595920000000007)
44,08f283411008d0db037d4b432ae05673,Mission Industrial Art Studios,[],POINT (-122.0512400000000071 36.9596299999999971),POINT (-122.0512400000000071 36.9596299999999900)
45,08f283411008d7940391e5e6ed68b382,The Woodress,[],POINT (-122.0489440000000059 36.9571241000000015),POINT (-122.0489440000000201 36.9571240999999944)
46,08f283411009013003cb161d1ca550a9,The Apero Club,[],POINT (-122.0482027999999985 36.9592079000000027),POINT (-122.0482027999999843 36.9592078999999956)
47,08f28341100912b103588f184980960c,Humble Sea Brewing Co.,[],POINT (-122.0488181000000054 36.9596323000000027),POINT (-122.0488180999999912 36.9596323000000098)
48,08f283411009364803e8a3503ef4a003,Fanucci Auto Body,[],POINT (-122.0483262999999994 36.9600757999999985),POINT (-122.0483233257094895 36.9600640395133198)
49,08f283411009433103801c2c80773e89,Margins Wine Cubby,[],POINT (-122.0483499000000052 36.9588711999999973),POINT (-122.0483542894731954 36.9588887897517751)
50,08f283411009444903261636b9b134d6,Illuminée,[],POINT (-122.0481639000000058 36.9589485999999994),POINT (-122.0481639000000058 36.9589485999999994)
51,08f2834110095036033a57f29441b332,Santa Cruz Yoga,[],POINT (-122.0485381000000018 36.9589584000000002),POINT (-122.0485234693725261 36.9589607843951740)
52,08f283411009553103dcfe2c9e6e1909,Eothen Circle,[],POINT (-122.0484806999999989 36.9589151999999999),POINT (-122.0484806999999989 36.9589151999999999)
53,08f28341100955450388b3f2781f57e6,Synergy,[],POINT (-122.0487138000000016 36.9588851000000034),POINT (-122.0487138000000016 36.9588851000000034)
54,08f2834110095558033256b76819868c,The Swift Stitch,[],POINT (-122.0485852999999992 36.9589347000000004),POINT (-122.0485195467362161 36.9589454160000486)
55,08f283411009561a03884643a41e3fa3,Ward Coffey Shapes,[],POINT (-122.0486063000000030 36.9592050999999984),POINT (-122.0486062999999888 36.9592050999999984)
56,08f2834110095b2303c827c9fd0d32ec,Swift Street Courtyard,[],POINT (-122.0489450000000033 36.9588977000000014),POINT (-122.0489449999999891 36.9588976999999943)
57,08f2834110095c4e03d8e8dc1264422d,Atlas Family Chiropractic,[],POINT (-122.0486199000000056 36.9590290000000010),POINT (-122.0486199000000056 36.9590289999999939)
58,08f2834110095c9403020e8773513932,"Angelica Vassilieva, Santa Cruz Realtor",[],POINT (-122.0484833999999950 36.9589791000000005),POINT (-122.0484833999999950 36.9589791000000005)
59,08f2834110095c940316a07a6b536cb1,Lighthouse Realty & Property Management,[],POINT (-122.0484485000000063 36.9590323999999981),POINT (-122.0484485000000063 36.9590323999999910)
60,08f2834110095c9403216d294e9281fe,pepper place design,[],POINT (-122.0485051999999939 36.9589404000000030),POINT (-122.0485052000000081 36.9589404000000030)
61,08f2834110095c94034384888866a576,"Paige Czelusta, Petite PT Pilates",[],POINT (-122.0485500999999999 36.9589321999999996),POINT (-122.0485175283697998 36.9589375082933742)
62,08f2834110095c94035b39f68e30ffb8,Poppy and Pebble,[],POINT (-122.0484799999999979 36.9589399999999983),POINT (-122.0484799999999836 36.9589399999999983)
63,08f2834110095c94037ec03f323d9871,Kelly's French Bakery,[],POINT (-122.0483792999999935 36.9592135999999982),POINT (-122.0483792999999935 36.9592135999999911)
64,08f2834110095c940394c09e0d45d9ac,The Loft Salon and Spa,[],POINT (-122.0485661000000022 36.9588524999999990),POINT (-122.0484992000000091 36.9588656999999898)
65,08f2834110095c9403a154a5f21a0a89,Cameron Marks Store,[],POINT (-122.0481965000000031 36.9589143000000035),POINT (-122.0481965000000031 36.9589142999999964)
66,08f2834110095c9403a9f6c620b8d950,Silver Mountain Vineyards Tasting Room,[],POINT (-122.0478042000000016 36.9590615999999983),POINT (-122.0478041999999732 36.9590615999999983)
67,08f283411009638103b9a55574f70f87,west end tap & kitchen,[],POINT (-122.0478164000000021 36.9591988000000029),POINT (-122.0478164000000021 36.9591988000000029)
68,08f283411009685303c61007cfb69549,Sones Cellars,[],POINT (-122.0478875999999957 36.9589612999999986),POINT (-122.0478803087024744 36.9589624617863635)
69,08f28341100968700324dfb589845f87,Tacos El Chuy,[],POINT (-122.0482590999999957 36.9589855999999983),POINT (-122.0482590999999957 36.9589855999999912)
70,08f2834110096974036e0ba90645cc33,Santa Cruz Mountain Vineyard,[],POINT (-122.0478726999999992 36.9588646999999995),POINT (-122.0478565543616867 36.9588672726293836)
71,08f2834110096b9103666986f97a9819,Equinox Sparkling Wine,[],POINT (-122.0479234999999960 36.9590411000000003),POINT (-122.0479008340592770 36.9590447115592653)
72,08f28341100984c303919b808080c8cf,7-Eleven,[],POINT (-122.0491964999999936 36.9603090000000023),POINT (-122.0491709320149454 36.9603132001121679)
73,08f283411009a84603d889ae809cb8ca,Super Suds Laundromat,[],POINT (-122.0489203000000060 36.9602568999999974),POINT (-122.0489203000000202 36.9602568999999974)
74,08f283411009a86b032a260ab9b3c6a7,KeyMe Locksmiths,[],POINT (-122.0491657000000032 36.9602980000000017),POINT (-122.0491656999999748 36.9602980000000088)
75,08f283411009db48032bb07bbc64c0b8,Roto-Rooter Plumbing & Water Cleanup,['service'],POINT (-122.0500775999999945 36.9601596999999984),POINT (-122.0500458555812031 36.9599743646518277)
76,08f283411009db480339b35564364163,CrossFit Santa Cruz,[],POINT (-122.0500521999999961 36.9599884000000003),POINT (-122.0500497235617132 36.9599739416453588)
77,08f283411009dcb4034a555c2827d994,Persys Engineering. Inc.,[],POINT (-122.0495930000000016 36.9599692000000033),POINT (-122.0495845731280866 36.9599153781704075)
78,08f283411009ed9903897d391f133c9b,Independent Rental Co,[],POINT (-122.0486231999999944 36.9600487000000015),POINT (-122.0486039759201873 36.9599740164582542)
79,08f28341100b02b00312f2d5601f2e38,Java Bob's Coffee Roasting,[],POINT (-122.0487320999999952 36.9583025000000021),POINT (-122.0487320999999810 36.9583025000000021)
80,08f28341100b04c303575b9d2909406c,Rexford Winery,[],POINT (-122.0487083999999953 36.9582322999999988),POINT (-122.0487083999999811 36.9582322999999988)
81,08f28341100b206c03cbbbc51fc4d487,Gadgetbox,['footway'],POINT (-122.0483008000000069 36.9584551000000019),POINT (-122.0482837169984407 36.9583831605996096)
82,08f28341100b22710386e492d80284d5,Lighthouse Realty & Property Management,"['footway', 'residential']",POINT (-122.0483999000000068 36.9585063999999974),POINT (-122.0483676143465033 36.9583704397030175)
83,08f28341100b227103ae894d0e4338a6,Atlas Family Chiropractic,"['footway', 'residential']",POINT (-122.0483999000000068 36.9585063999999974),POINT (-122.0483676143465033 36.9583704397030175)
84,08f28341100b28d5033cddf3e16467a7,Westside Studio Images,[],POINT (-122.0483215000000001 36.9584156000000021),POINT (-122.0483127514258541 36.9583787582682319)
85,08f28341100b4740031e84ffdff3def8,Hidden Treasures Preschool,[],POINT (-122.0485046000000011 36.9577232999999978),POINT (-122.0485045999999869 36.9577232999999978)
86,08f28341100c5b1c03b473d2aafe6b93,Statewide Self Storage,[],POINT (-122.0539602000000059 36.9599467000000033),POINT (-122.0539601999999775 36.9599466999999962)
87,08f28341100c605803cbd4e03a94ae1b,Ark Animal Hospital,[],POINT (-122.0528472999999963 36.9599916000000022),POINT (-122.0529376153767771 36.9599845890160097)
88,08f28341100d4bae03c56ef16e908b8f,Wallis Wood Works,[],POINT (-122.0522981999999956 36.9601755999999995),POINT (-122.0522981999999672 36.9601755999999995)
89,08f28341100db04003225cc32393cd5c,Shared Adventures,[],POINT (-122.0529470000000032 36.9619789999999995),POINT (-122.0529470000000174 36.9619789999999995)
90,08f28341100e1111034cddf2e7d00f3e,Flesk Publications,[],POINT (-122.0541962000000069 36.9595433000000000),POINT (-122.0541962000000069 36.9595433000000000)
91,08f28341100e1632034f9a41e6c26345,Lucid Sound and Picture,[],POINT (-122.0556136999999950 36.9596333000000001),POINT (-122.0555848000000196 36.9595841000000007)
92,08f28341100e393103dacf0aae505e3d,Coastal Waste Solutions LLC,[],POINT (-122.0537869000000057 36.9593428000000017),POINT (-122.0537869000000057 36.9593428000000017)
93,08f28341100e98a0036272be1f7a878d,Alta Organic Coffee Warehouse and Roasting Company,[],POINT (-122.0551952999999941 36.9599268999999993),POINT (-122.0551952999999941 36.9599802999999980)
94,08f28341100eab25030b755c56c15c73,Sandbar Solar & Electric,[],POINT (-122.0545014000000066 36.9599648000000016),POINT (-122.0545014000000208 36.9599647999999945)
95,08f28341100eac2b032f7439ee77067b,Santa Cruz Fire Equip. Co,"['tertiary', 'footway']",POINT (-122.0554110000000065 36.9597868999999974),POINT (-122.0554110000000065 36.9599802999999980)
96,08f28341100ec342032d9fb7e82dce70,Beyond Circuits,[],POINT (-122.0549441000000002 36.9596073000000018),POINT (-122.0549368727530748 36.9595633174761602)
97,08f28341100ed970031d95f015af3d2d,Duke Empirical,[],POINT (-122.0557189999999963 36.9592469999999977),POINT (-122.0557190000000105 36.9592469999999906)
98,08f28341100f071403a70d8af541b70b,"Susan Wagner Designs, LLC",[],POINT (-122.0521533999999946 36.9597272999999973),POINT (-122.0521483305212200 36.9596944818931661)
99,08f283411010c2530300800a00129d4c,Somagenics,[],POINT (-122.0542795000000069 36.9544774000000018),POINT (-122.0542795000000069 36.9544773999999947)
100,08f283411010d48e033e0e8734490c7e,Transderm LLC,[],POINT (-122.0542892999999935 36.9548046000000028),POINT (-122.0542779000000166 36.9547675000000027)
101,08f283411010e0c003e046405c408b07,Ucsc University Relations,[],POINT (-122.0534690000000069 36.9546050000000008),POINT (-122.0534690000000211 36.9546050000000008)
102,08f283411010e0e003a5956b92b66204,University of California Santa Cruz,[],POINT (-122.0534784000000030 36.9545785999999978),POINT (-122.0534783999999888 36.9545785999999978)
103,08f283411010e71b03b3518736dbcc09,CCOF,[],POINT (-122.0535174000000040 36.9545016000000004),POINT (-122.0535173999999898 36.9545015999999933)
104,08f283411011269a034f8cc8937957b0,Santa Cruz StitchWorks,[],POINT (-122.0508200000000016 36.9547200000000018),POINT (-122.0508199999999732 36.9547199999999947)
105,08f283411011269a03ade17dcd9e1425,Hamo Cruz Classics and Customs,[],POINT (-122.0508200000000016 36.9547200000000018),POINT (-122.0508199999999732 36.9547199999999947)
106,08f283411011310a0390039abb5f90df,Santa Cruz Biotechnology,[],POINT (-122.0516460999999993 36.9546715000000034),POINT (-122.0516461000000135 36.9546714999999963)
107,08f283411011c42103ac7c23ab4867a7,Crystal Springs Water,['service'],POINT (-122.0522749999999945 36.9546382999999992),POINT (-122.0522852345817739 36.9547052150532096)
108,08f28341101317a503d86304fc56a588,Sergeant Derby Park,['footway'],POINT (-122.0511396999999931 36.9534822999999975),POINT (-122.0511970000000161 36.9532711000000020)
